Rk,Player,Won,Lost,Won%,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
164,Jeremie Boga,3,4,42.9,1054,2024-2025,27,ci CIV,Nice,fr Ligue 1,21,MFFW,fe012aca
165,Andrea Pinamonti,83,111,42.8,2850,2024-2025,25,it ITA,Genoa,it Serie A,36,FW,08aa9cd1
166,Roberto Piccoli,110,147,42.8,3127,2024-2025,23,it ITA,Cagliari,it Serie A,37,FW,1cadaf34
167,Esteban Lepaul,35,47,42.7,1629,2024-2025,24,fr FRA,Angers,fr Ligue 1,28,FW,85ce1949
168,Liam Delap,55,74,42.6,2593,2024-2025,21,eng ENG,Ipswich Town,eng Premier League,37,FW,dd897ee7
169,Moritz Broschinski,31,42,42.5,1390,2024-2025,23,de GER,Bochum,de Bundesliga,33,FWMF,bbd79358
170,Tom Bischof,14,19,42.4,2559,2024-2025,19,de GER,Hoffenheim,de Bundesliga,31,MFFW,07d3bfec
171,Patrick Wimmer,36,49,42.4,1770,2024-2025,23,at AUT,Wolfsburg,de Bundesliga,29,MFFW,cb11b429
172,Mama Samba Baldé,36,49,42.4,1182,2024-2025,28,gw GNB,2 Teams,fr Ligue 1,29,FW,fb14aa28
173,Alieu Fadera,11,15,42.3,1644,2024-2025,22,gm GAM,Como,it Serie A,28,FWDF,53210e42
174,Christantus Uche,91,124,42.3,2486,2024-2025,21,ng NGA,Getafe,es La Liga,33,FWMF,87941696
175,Ollie Watkins,52,71,42.3,2598,2024-2025,28,eng ENG,Aston Villa,eng Premier League,38,FW,aed3a70f
176,Dani Rodríguez,27,37,42.2,2162,2024-2025,36,es ESP,Mallorca,es La Liga,37,MFFW,70f8e0bd
177,Ermedin Demirović,34,47,42.0,1855,2024-2025,26,ba BIH,Stuttgart,de Bundesliga,34,FW,ed79b7d3
178,Giorgos Masouras,26,36,41.9,1055,2024-2025,30,gr GRE,Bochum,de Bundesliga,14,FWMF,9d689a5b
179,Evann Guessand,26,36,41.9,2565,2024-2025,23,ci CIV,Nice,fr Ligue 1,33,FWMF,b73f17f8
180,Jamie Gittens,5,7,41.7,1776,2024-2025,19,eng ENG,Dortmund,de Bundesliga,32,FWMF,10745192
181,Dango Ouattara,45,63,41.7,2005,2024-2025,22,bf BFA,Bournemouth,eng Premier League,32,FW,2f9e4435
182,Mathys Tel,5,7,41.7,1167,2024-2025,19,fr FRA,2 Teams,2 Comps,21,FW,829aa60c
183,Amin Sarr,65,91,41.7,1907,2024-2025,23,se SWE,Hellas Verona,it Serie A,32,FW,d5326924
184,Nikola Krstović,91,128,41.6,3057,2024-2025,24,me MNE,Lecce,it Serie A,37,FW,473803c9
185,Jon Guridi,47,66,41.6,2080,2024-2025,29,es ESP,Alavés,es La Liga,33,MFFW,4c0a6a48
186,Mamadou Sylla,41,58,41.4,1583,2024-2025,30,sn SEN,Valladolid,es La Liga,29,FWMF,e5ec95f8
187,Robin Hack,19,27,41.3,2172,2024-2025,25,de GER,Gladbach,de Bundesliga,33,FWMF,0174ba21
188,Abde Ezzalzouli,26,37,41.3,1984,2024-2025,22,ma MAR,Betis,es La Liga,32,FWMF,bed68338
189,Álvaro Morata,14,20,41.2,1099,2024-2025,31,es ESP,Milan,it Serie A,16,FWMF,129af0db
190,Artem Dovbyk,42,60,41.2,2418,2024-2025,27,ua UKR,Roma,it Serie A,32,FW,5b847bb0
191,Arthur Atta,14,20,41.2,1251,2024-2025,21,fr FRA,Udinese,it Serie A,27,MFFW,d3ddf88b
192,Khvicha Kvaratskhelia,7,10,41.2,2094,2024-2025,23,ge GEO,2 Teams,2 Comps,31,FWMF,dea88efd
193,Jens Odgaard,43,62,41.0,1952,2024-2025,25,dk DEN,Bologna,it Serie A,29,MFFW,75374ee7
194,Aleksandr Golovin,9,13,40.9,1153,2024-2025,28,ru RUS,Monaco,fr Ligue 1,19,MFFW,3708e9fa
195,Karim Adeyemi,9,13,40.9,1433,2024-2025,22,de GER,Dortmund,de Bundesliga,25,FWMF,501055d8
196,Alejandro Jiménez,9,13,40.9,1266,2024-2025,19,es ESP,Milan,it Serie A,22,DFFW,faa13947
197,Kingsley Coman,11,16,40.7,1282,2024-2025,28,fr FRA,Bayern Munich,de Bundesliga,28,FW,042e8a49
